Wall time,Step,Value,Value,Value,Value
1605466830,911,-19,-19,-20,-21
1605466833,1670,-20,-20,-18,-20.5
1605466836,2752,-20,-20,-18.66666603,-20.33333397
1605466839,3586,-20.25,-20.25,-19.25,-20.25
1605466842,4525,-20.20000076,-20.20000076,-19.60000038,-20.39999962
1605466845,5389,-20.33333397,-20.33333397,-19.5,-20.5
1605466848,6243,-20.2857151,-20.2857151,-19.5714283,-20.1428566
1605466850,7080,-20.375,-20.375,-19.75,-20.125
1605466853,7859,-20.44444466,-20.44444466,-19.88888931,-20.11111069
1605466856,8797,-20.5,-20.5,-19.89999962,-20
1605466860,9754,-20.36363602,-20.36363602,-19.81818199,-19.90909004
1605466873,10900,-20.16666603,-20.25,-19.83333397,-19.91666603
1605466884,11810,-20.15384674,-20.23077011,-19.84615326,-19.84615326
1605466896,12756,-20.1428566,-20.1428566,-19.9285717,-19.7857151
1605466907,13617,-20.13333321,-20.06666756,-19.93333244,-19.79999924
1605466918,14451,-20.125,-20.0625,-19.9375,-19.8125
1605466934,15710,-19.88235283,-20.11764717,-19.94117737,-19.88235283
1605466944,16494,-19.94444466,-20.05555534,-19.94444466,-19.94444466
1605466957,17470,-19.94736862,-20.10526276,-19.89473724,-19.94736862
1605466968,18384,-19.95000076,-19.95000076,-19.79999924,-19.95000076
1605466983,19485,-19.90476227,-19.90476227,-19.80952454,-20
1605466996,20521,-19.86363602,-19.90909004,-19.77272797,-19.95454597
1605467008,21402,-19.86956596,-19.82608604,-19.82608604,-19.95652199
1605467017,22160,-19.91666603,-19.83333397,-19.79166603,-19.875
1605467033,23348,-19.84000015,-19.79999924,-19.79999924,-19.87999916
1605467047,24281,-19.84615326,-19.84615326,-19.76922989,-19.88461494
1605467059,25227,-19.85185242,-19.74073982,-19.74073982,-19.92592621
1605467074,26388,-19.7857151,-19.75,-19.75,-19.9285717
1605467095,27821,-19.6896553,-19.79310417,-19.79310417,-19.86206818
1605467111,29050,-19.66666603,-19.66666603,-19.79999924,-19.89999962
1605467128,30091,-19.67741966,-19.64516068,-19.77419281,-19.90322495
1605467153,31778,-19.5625,-19.625,-19.71875,-19.875
1605467171,33023,-19.54545403,-19.48484802,-19.66666603,-19.81818199
1605467185,33983,-19.52941132,-19.44117737,-19.64705849,-19.85294151
1605467203,35186,-19.48571396,-19.4285717,-19.65714264,-19.82857132
1605467227,36916,-19.33333397,-19.41666603,-19.66666603,-19.86111069
1605467245,38134,-19.29729652,-19.40540504,-19.56756783,-19.86486435
1605467266,39461,-19.2368412,-19.36842155,-19.52631569,-19.89473724
1605467281,40499,-19.2564106,-19.07692337,-19.41025734,-19.89743614
1605467300,41975,-19.20000076,-19.02499962,-19.375,-19.875
1605467320,43322,-19.14634132,-18.95121956,-19.24390221,-19.90243912
1605467345,45032,-19.04761887,-18.9285717,-19.16666603,-19.90476227
1605467371,46551,-18.930233,-18.8837204,-19.0930233,-19.930233
1605467397,48191,-18.84090996,-18.84090996,-19.06818199,-19.95454597
1605467425,50014,-18.71111107,-18.77777863,-18.88888931,-19.95555496
1605467459,52275,-18.45652199,-18.80434799,-18.82608604,-19.97826004
1605467484,54058,-18.40425491,-18.68085098,-18.80850983,-19.97872353
1605467509,55780,-18.33333397,-18.64583397,-18.75,-19.95833397
1605467535,57562,-18.2857151,-18.53061295,-18.53061295,-19.93877602
1605467557,59072,-18.23999977,-18.52000046,-18.45999908,-19.92000008
1605467594,61295,-18.07843208,-18.37254906,-18.27450943,-19.92156792
1605467626,63165,-18.01922989,-18.17307663,-18.11538506,-19.92307663
1605467662,65389,-17.90566063,-18.13207626,-18.01886749,-19.88679314
1605467691,67299,-17.81481552,-18.18518448,-17.77777863,-19.90740776
1605467720,69057,-17.76363564,-18.10909081,-17.70909119,-19.90909004
1605467758,71571,-17.6785717,-18.0535717,-17.5714283,-19.9107151
1605467786,73285,-17.63157845,-18,-17.4912281,-19.89473724
1605467824,75527,-17.51724052,-17.96551704,-17.48275948,-19.87931061
1605467873,78333,-17.32203484,-17.86440659,-17.37288094,-19.84745789
1605467917,80886,-17.25,-17.76666641,-17.21666718,-19.85000038
1605467952,83073,-17.16393471,-17.72131157,-17.18032837,-19.85245895
1605467995,85867,-17.04838753,-17.59677505,-17.12903214,-19.87096786
1605468031,88248,-16.95238113,-17.44444466,-16.96825409,-19.88888931
1605468090,91984,-16.703125,-17.328125,-16.859375,-19.875
1605468136,94999,-16.49230766,-17.26153755,-16.78461456,-19.86153793
1605468185,98244,-16.19696999,-17.15151596,-16.66666603,-19.84848404
1605468234,101144,-16.05970192,-16.92537308,-16.31343269,-19.85074615
1605468288,104431,-15.76470566,-16.80882263,-16.01470566,-19.83823586
1605468331,107048,-15.66666698,-16.69565201,-15.72463799,-19.82608604
1605468387,110402,-15.41428566,-16.48571396,-15.5714283,-19.84285736
1605468440,113527,-15.21126747,-16.35211182,-15.29577446,-19.84506989
1605468494,116755,-14.93055534,-16.25,-15.22222233,-19.86111069
1605468558,120623,-14.73972607,-16.16438293,-14.89041138,-19.84931564
1605468616,123923,-14.56756783,-15.90540504,-14.56756783,-19.83783722
1605468675,127391,-14.41333294,-15.84000015,-14.19999981,-19.85333252
1605468721,130154,-14.09210491,-15.67105293,-13.89473724,-19.85526276
1605468762,132733,-13.75324631,-15.54545498,-13.61038971,-19.84415627
1605468821,136219,-13.52564144,-15.17948723,-13.29487133,-19.84615326
1605468873,139273,-13.25316429,-14.97468376,-13.06329155,-19.84810066
1605468914,141828,-12.92500019,-14.83749962,-12.82499981,-19.82500076
1605468968,145042,-12.71604919,-14.72839546,-12.60493851,-19.82715988
1605469014,147838,-12.46341419,-14.64634132,-12.31707287,-19.81707382
1605469062,150789,-12.1566267,-14.51807213,-12.01204777,-19.83132553
1605469111,153845,-11.94047642,-14.26190472,-11.6785717,-19.83333397
1605469153,156411,-11.67058849,-14.03529453,-11.44705868,-19.83529472
1605469199,159223,-11.45348835,-13.8488369,-11.1860466,-19.8372097
1605469254,162542,-11.2298851,-13.65517235,-11,-19.85057449
1605469302,165504,-10.98863602,-13.48863602,-10.68181801,-19.85227203
1605469358,168982,-10.85393238,-13.32584286,-10.38202286,-19.84269714
1605469400,171604,-10.61111069,-13.13333321,-10.05555534,-19.83333397
1605469443,174129,-10.39560413,-12.92307663,-9.824175835,-19.81318665
1605469489,176998,-10.29347801,-12.75,-9.543478012,-19.80434799
1605469535,179837,-10.08602142,-12.46236515,-9.322580338,-19.81720352
1605469567,181869,-9.819149017,-12.22340393,-9.042552948,-19.80850983
1605469619,184966,-9.631579399,-12.01052666,-8.747368813,-19.81052589
1605469671,188031,-9.416666985,-11.77083302,-8.5,-19.8125
1605469714,190382,-9.154639244,-11.58762932,-8.257732391,-19.81443214
1605469773,193812,-9.040816307,-11.36734676,-8.051020622,-19.82653046
1605469820,196747,-8.777777672,-11.20202065,-7.76767683,-19.82828331
1605469868,199695,-8.590000153,-11.05000019,-7.619999886,-19.84000015
1605469918,202495,-8.340000153,-10.81999969,-7.289999962,-19.81999969
1605469964,205393,-8.029999733,-10.53999996,-7.010000229,-19.82999992
1605470002,207901,-7.690000057,-10.25,-6.630000114,-19.82999992
1605470049,210948,-7.380000114,-9.960000038,-6.28000021,-19.84000015
1605470092,213743,-7.059999943,-9.670000076,-5.920000076,-19.81999969
1605470134,216374,-6.699999809,-9.329999924,-5.559999943,-19.81999969
1605470167,218476,-6.329999924,-8.989999771,-5.340000153,-19.85000038
1605470196,220366,-5.960000038,-8.680000305,-5.039999962,-19.84000015
1605470248,223626,-5.769999981,-8.300000191,-4.659999847,-19.84000015
1605470292,226482,-5.480000019,-7.980000019,-4.289999962,-19.84000015
1605470332,228954,-5.170000076,-7.659999847,-3.960000038,-19.85000038
1605470367,231249,-4.880000114,-7.380000114,-3.609999895,-19.85000038
1605470398,233221,-4.5,-7.050000191,-3.210000038,-19.86000061
1605470443,236026,-4.260000229,-6.710000038,-2.809999943,-19.87999916
1605470478,238235,-3.940000057,-6.349999905,-2.460000038,-19.87000084
1605470514,240548,-3.579999924,-6.050000191,-2.089999914,-19.86000061
1605470554,242979,-3.269999981,-5.78000021,-1.700000048,-19.85000038
1605470589,245121,-2.920000076,-5.429999828,-1.289999962,-19.81999969
1605470625,247245,-2.559999943,-5.050000191,-0.920000017,-19.82999992
1605470657,249215,-2.180000067,-4.739999771,-0.550000012,-19.84000015
1605470692,251427,-1.870000005,-4.46999979,-0.219999999,-19.81999969
1605470727,253629,-1.519999981,-4.179999828,0.129999995,-19.81999969
1605470766,255886,-1.159999967,-3.900000095,0.49000001,-19.79999924
1605470805,258188,-0.810000002,-3.559999943,0.730000019,-19.80999947
1605470838,260302,-0.49000001,-3.230000019,1.059999943,-19.80999947
1605470886,263324,-0.209999993,-2.859999895,1.399999976,-19.81999969
1605470922,265600,0.100000001,-2.539999962,1.730000019,-19.79999924
1605470951,267492,0.439999998,-2.200000048,2.049999952,-19.80999947
1605470981,269409,0.800000012,-1.799999952,2.420000076,-19.84000015
1605471016,271638,1.139999986,-1.50999999,2.819999933,-19.82999992
1605471056,274062,1.419999957,-1.169999957,3.160000086,-19.82999992
1605471088,276121,1.75,-0.860000014,3.49000001,-19.82999992
1605471119,278174,2.099999905,-0.540000021,3.809999943,-19.86000061
1605471160,280811,2.410000086,-0.170000002,4.170000076,-19.81999969
1605471193,282913,2.75999999,0.200000003,4.570000172,-19.82999992
1605471221,284728,3.099999905,0.550000012,4.940000057,-19.81999969
1605471266,287677,3.400000095,0.910000026,5.210000038,-19.81999969
1605471300,289845,3.710000038,1.230000019,5.550000191,-19.78000069
1605471336,292157,4.03000021,1.460000038,5.849999905,-19.78000069
1605471370,294362,4.360000134,1.779999971,6.179999828,-19.77000046
1605471410,296843,4.670000076,2.079999924,6.5,-19.75
1605471439,298710,5,2.390000105,6.869999886,-19.75
1605471476,301104,5.300000191,2.730000019,7.230000019,-19.71999931
1605471507,303073,5.630000114,3.069999933,7.619999886,-19.70999908
1605471541,305294,5.920000076,3.349999905,7.929999828,-19.69000053
1605471571,307208,6.159999847,3.74000001,8.300000191,-19.63999939
1605471607,309526,6.429999828,3.950000048,8.640000343,-19.62999916
1605471644,311883,6.730000019,4.320000172,8.949999809,-19.63999939
1605471679,314072,7.050000191,4.650000095,9.170000076,-19.62999916
1605471713,316324,7.360000134,5,9.479999542,-19.63999939
1605471750,318561,7.630000114,5.289999962,9.680000305,-19.63999939
1605471781,320602,7.960000038,5.559999943,9.930000305,-19.63999939
1605471818,322952,8.229999542,5.829999924,10.22000027,-19.65999985
1605471852,325163,8.529999733,6.230000019,10.39000034,-19.63999939
1605471889,327597,8.779999733,6.539999962,10.64999962,-19.62000084
1605471920,329578,9.06000042,6.860000134,10.93999958,-19.60000038
1605471958,332086,9.359999657,7.170000076,11.15999985,-19.60000038
1605472001,334842,9.56000042,7.519999981,11.51000023,-19.61000061
1605472040,337364,9.710000038,7.800000191,11.81000042,-19.63999939
1605472069,339245,10.01000023,8.130000114,11.77999973,-19.63999939
1605472105,341429,10.31000042,8.489999771,12.06999969,-19.62000084
1605472134,343367,10.60000038,8.779999733,12.34000015,-19.62000084
1605472164,345308,10.88000011,9.050000191,12.57999992,-19.61000061
1605472193,347188,11.06999969,9.329999924,12.78999996,-19.62000084
1605472224,349156,11.28999996,9.630000114,13.11999989,-19.63999939
1605472256,351120,11.46000004,9.880000114,13.39000034,-19.63999939
1605472288,353250,11.71000004,10.06999969,13.44999981,-19.64999962
1605472319,355192,11.86999989,10.31999969,13.57999992,-19.63999939
1605472354,357497,12.11999989,10.55000019,13.72000027,-19.65999985
1605472383,359360,12.28999996,10.76000023,13.93999958,-19.63999939
1605472425,361827,12.36999989,11.02999973,14.06999969,-19.62999916
1605472456,363795,12.51000023,11.31000042,14.34000015,-19.60000038
1605472485,365666,12.68999958,11.52999973,14.35999966,-19.60000038
1605472521,367994,12.85000038,11.64999962,14.46000004,-19.61000061
1605472555,370229,12.98999977,11.96000004,14.51000023,-19.61000061
1605472589,372469,13.02999973,12.18000031,14.60000038,-19.62000084
1605472623,374650,13.05000019,12.43999958,14.68999958,-19.62000084
1605472651,376437,13.19999981,12.47000027,14.68000031,-19.61000061
1605472680,378283,13.31000042,12.67000008,14.78999996,-19.60000038
1605472714,380486,13.36999989,12.90999985,14.81999969,-19.62999916
1605472745,382434,13.48999977,13.10000038,14.93999958,-19.62000084
1605472778,384559,13.59000015,13.35999966,15,-19.63999939
1605472812,386733,13.64999962,13.60999966,14.94999981,-19.63999939
1605472845,388826,13.76000023,13.72999954,15,-19.63999939
1605472880,391075,13.77999973,13.85000038,15.10999966,-19.64999962
1605472912,392984,13.89000034,14.03999996,15.18999958,-19.65999985
1605472947,395049,13.98999977,14.22000027,15.34000015,-19.64999962
1605472980,397219,14.05000019,14.32999992,15.28999996,-19.64999962
1605473009,399133,14.21000004,14.48999977,15.28999996,-19.65999985
1605473038,401024,14.30000019,14.61999989,15.31000042,-19.68000031
1605473070,402966,14.40999985,14.69999981,15.40999985,-19.70999908
1605473101,404976,14.60999966,14.84000015,15.46000004,-19.72999954
1605473133,407085,14.68999958,14.90999985,15.55000019,-19.70000076
1605473168,409435,14.67000008,14.96000004,15.57999992,-19.70999908
1605473201,411596,14.73999977,15.07999992,15.56999969,-19.71999931
1605473265,413712,14.77999973,15.13000011,15.55000019,-19.72999954
1605473405,415647,14.77999973,15.21000004,15.60000038,-19.71999931
1605521437,417910,14.86999989,15.28999996,15.68999958,-19.69000053
1605521485,419832,14.86999989,15.42000008,15.61999989,-19.69000053
1605521530,422014,14.92000008,15.55000019,15.72999954,-19.69000053
1605521568,423944,15.02999973,15.67000008,15.69999981,-19.68000031
1605521605,425923,15.10999966,15.77000046,15.76000023,-19.64999962
1605521636,427817,15.15999985,15.81999969,15.73999977,-19.64999962
1605521672,430149,15.18000031,15.90999985,15.69999981,-19.64999962
1605521705,432008,15.25,16,15.75,-19.65999985
1605521740,434000,15.27000046,16.04999924,15.76000023,-19.62999916
1605521782,436359,15.15999985,16.02000046,15.89000034,-19.61000061
1605521813,438215,15.18000031,16.06999969,16.01000023,-19.62999916
1605521843,439958,15.38000011,16.11000061,16.03000069,-19.62000084
1605521875,441783,15.47999954,16.18000031,16.04000092,-19.62999916
1605521908,443696,15.52000046,16.21999931,16.09000015,-19.62000084
1605521939,445453,15.60000038,16.29999924,16.07999992,-19.61000061
1605521972,447424,15.57999992,16.35000038,16.06999969,-19.61000061
1605522006,449476,15.69999981,16.38999939,16.06999969,-19.61000061
1605522037,451503,15.75,16.37999916,16.11000061,-19.61000061
1605522071,453520,15.76000023,16.45000076,16.12999916,-19.62000084
1605522102,455462,15.78999996,16.54000092,16.12000084,-19.61000061
1605522141,457916,15.78999996,16.54000092,16.05999947,-19.63999939
1605522169,459706,15.81999969,16.53000069,16.04999924,-19.62999916
1605522201,461671,15.82999992,16.54999924,16.06999969,-19.61000061
1605522238,463870,15.86999989,16.59000015,16.12999916,-19.62999916
1605522265,465593,15.89000034,16.62999916,16.11000061,-19.63999939
1605522295,467566,15.89999962,16.68000031,16.10000038,-19.65999985
1605522323,469456,15.96000004,16.73999977,16.21999931,-19.67000008
1605522356,471583,15.97999954,16.79999924,16.29000092,-19.67000008
1605522384,473391,16.07999992,16.70999908,16.30999947,-19.67000008
1605522413,475230,16.14999962,16.76000023,16.34000015,-19.68000031
1605522447,477201,16.17000008,16.75,16.40999985,-19.68000031
1605522478,479104,16.15999985,16.72999954,16.40999985,-19.67000008
1605522509,481139,16.13999939,16.75,16.38999939,-19.67000008
1605522543,483194,16.21999931,16.79000092,16.40999985,-19.64999962
1605522572,485097,16.22999954,16.79000092,16.40999985,-19.63999939
1605522606,487256,16.20000076,16.79999924,16.44000053,-19.62999916
1605522639,489170,16.26000023,16.80999947,16.46999931,-19.62000084
1605522677,491307,16.22999954,16.79000092,16.47999954,-19.62999916
1605522718,493806,16.18000031,16.84000015,16.29999924,-19.62000084
1605522748,495626,16.25,16.87999916,16.39999962,-19.60000038
1605522781,497648,16.29999924,16.92000008,16.45000076,-19.61000061
1605522815,499578,16.36000061,16.97999954,16.48999977,-19.62000084
,,,16.97999954,16.5,-19.64999962
,,,17.02000046,16.52000046,-19.65999985
,,,17.05999947,16.5,-19.64999962
,,,17.09000015,16.48999977,-19.65999985
,,,17.11000061,16.47999954,-19.67000008
,,,17.17000008,16.40999985,-19.68000031
,,,17.17000008,16.39999962,-19.71999931
,,,17.25,,-19.71999931
,,,17.23999977,,-19.70000076
,,,17.21999931,,-19.72999954
,,,17.23999977,,-19.71999931
,,,17.26000023,,-19.71999931
,,,,,-19.71999931
,,,,,-19.71999931
,,,,,-19.73999977
,,,,,-19.77000046
,,,,,-19.78000069
,,,,,-19.77000046
,,,,,-19.76000023
,,,,,-19.76000023
,,,,,-19.77000046
,,,,,-19.78000069
,,,,,-19.76000023
,,,,,-19.75
,,,,,-19.73999977
,,,,,-19.70999908
,,,,,-19.70999908
,,,,,-19.70000076
,,,,,-19.70000076
,,,,,-19.70000076
,,,,,-19.71999931
,,,,,-19.71999931
,,,,,-19.72999954
,,,,,-19.73999977
,,,,,-19.73999977
,,,,,-19.70000076
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.65999985
,,,,,-19.62000084
,,,,,-19.62999916
,,,,,-19.62000084
,,,,,-19.60000038
,,,,,-19.60000038
,,,,,-19.59000015
,,,,,-19.57999992
,,,,,-19.57999992
,,,,,-19.57999992
,,,,,-19.56999969
,,,,,-19.55999947
,,,,,-19.55999947
,,,,,-19.53000069
,,,,,-19.53000069
,,,,,-19.52000046
,,,,,-19.51000023
,,,,,-19.51000023
,,,,,-19.53000069
,,,,,-19.54999924
,,,,,-19.54000092
,,,,,-19.53000069
,,,,,-19.55999947
,,,,,-19.57999992
,,,,,-19.57999992
,,,,,-19.57999992
,,,,,-19.59000015
,,,,,-19.62000084
,,,,,-19.62000084
,,,,,-19.57999992
,,,,,-19.57999992
,,,,,-19.59000015
,,,,,-19.60000038
,,,,,-19.61000061
,,,,,-19.62000084
,,,,,-19.61000061
,,,,,-19.62000084
,,,,,-19.61000061
,,,,,-19.59000015
,,,,,-19.59000015
,,,,,-19.60000038
,,,,,-19.60000038
,,,,,-19.60000038
,,,,,-19.59000015
,,,,,-19.57999992
,,,,,-19.56999969
,,,,,-19.57999992
,,,,,-19.57999992
,,,,,-19.55999947
,,,,,-19.55999947
,,,,,-19.54000092
,,,,,-19.54000092
,,,,,-19.55999947
,,,,,-19.57999992
,,,,,-19.59000015
,,,,,-19.62999916
,,,,,-19.62999916
,,,,,-19.64999962
,,,,,-19.67000008
,,,,,-19.69000053
,,,,,-19.67000008
,,,,,-19.65999985
,,,,,-19.64999962
,,,,,-19.67000008
,,,,,-19.68000031
,,,,,-19.68000031
,,,,,-19.70000076
,,,,,-19.67000008
,,,,,-19.67000008
,,,,,-19.69000053
,,,,,-19.68000031
,,,,,-19.68000031
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.67000008
,,,,,-19.65999985
,,,,,-19.67000008
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.70999908
,,,,,-19.70000076
,,,,,-19.70000076
,,,,,-19.70000076
,,,,,-19.70000076
,,,,,-19.70000076
,,,,,-19.69000053
,,,,,-19.70999908
,,,,,-19.70999908
,,,,,-19.72999954
,,,,,-19.73999977
,,,,,-19.75
,,,,,-19.76000023
,,,,,-19.76000023
,,,,,-19.75
,,,,,-19.77000046
,,,,,-19.76000023
,,,,,-19.77000046
,,,,,-19.77000046
,,,,,-19.75
,,,,,-19.76000023
,,,,,-19.75
,,,,,-19.73999977
,,,,,-19.70999908
,,,,,-19.70999908
